""	"task"	"categories"	"parents"	"children"	"siblings"
"338"	"Weakly Supervised Action Localization"	"['Computer Vision']"	"['Temporal Action Localization']"	"[]"	"['Temporal Action Proposal Generation', 'Weakly-supervised Temporal Action Localization', 'Action Recognition', 'Weakly Supervised Action Localization', 'Activity Recognition In Videos']"
"339"	"Weakly-supervised Temporal Action Localization"	"[]"	"['Temporal Action Localization']"	"[]"	"['Temporal Action Proposal Generation', 'Weakly-supervised Temporal Action Localization', 'Action Recognition', 'Weakly Supervised Action Localization', 'Activity Recognition In Videos']"
"340"	"Temporal Action Proposal Generation"	"[]"	"['Temporal Action Localization']"	"[]"	"['Temporal Action Proposal Generation', 'Weakly-supervised Temporal Action Localization', 'Action Recognition', 'Weakly Supervised Action Localization', 'Activity Recognition In Videos']"
"341"	"Forgery"	"['Computer Vision']"	"[]"	"['Localization In Video Forgery']"	"[]"
"342"	"Efficient Exploration"	"['Methodology']"	"[]"	"[]"	"[]"
"343"	"Anomaly Detection"	"['Miscellaneous', 'Computer Vision', 'Speech', 'Methodology']"	"[]"	"['Unsupervised Anomaly Detection', 'Anomaly Detection In Surveillance Videos', 'Abnormal Event Detection In Video', 'Group Anomaly Detection', 'Self-Supervised Anomaly Detection', 'Unsupervised Anomaly Detection In Sound', 'Contextual Anomaly Detection']"	"[]"
"344"	"Unsupervised Anomaly Detection"	"['Miscellaneous']"	"['Anomaly Detection']"	"['Unsupervised Contextual Anomaly Detection']"	"['Contextual Anomaly Detection', 'Self-Supervised Anomaly Detection', 'Anomaly Detection In Surveillance Videos', 'Abnormal Event Detection In Video', 'Unsupervised Anomaly Detection In Sound', 'Unsupervised Anomaly Detection', 'Group Anomaly Detection']"
"345"	"Abnormal Event Detection In Video"	"['Computer Vision']"	"['Anomaly Detection']"	"['Semi-supervised Anomaly Detection']"	"['Contextual Anomaly Detection', 'Self-Supervised Anomaly Detection', 'Anomaly Detection In Surveillance Videos', 'Abnormal Event Detection In Video', 'Unsupervised Anomaly Detection In Sound', 'Unsupervised Anomaly Detection', 'Group Anomaly Detection']"
"346"	"Group Anomaly Detection"	"[]"	"['Anomaly Detection']"	"[]"	"['Contextual Anomaly Detection', 'Self-Supervised Anomaly Detection', 'Anomaly Detection In Surveillance Videos', 'Abnormal Event Detection In Video', 'Unsupervised Anomaly Detection In Sound', 'Unsupervised Anomaly Detection', 'Group Anomaly Detection']"
"347"	"Self-Supervised Anomaly Detection"	"[]"	"['Anomaly Detection']"	"[]"	"['Contextual Anomaly Detection', 'Self-Supervised Anomaly Detection', 'Anomaly Detection In Surveillance Videos', 'Abnormal Event Detection In Video', 'Unsupervised Anomaly Detection In Sound', 'Unsupervised Anomaly Detection', 'Group Anomaly Detection']"
"348"	"Unsupervised Anomaly Detection In Sound"	"[]"	"['Anomaly Detection']"	"[]"	"['Contextual Anomaly Detection', 'Self-Supervised Anomaly Detection', 'Anomaly Detection In Surveillance Videos', 'Abnormal Event Detection In Video', 'Unsupervised Anomaly Detection In Sound', 'Unsupervised Anomaly Detection', 'Group Anomaly Detection']"
"349"	"Contextual Anomaly Detection"	"[]"	"['Anomaly Detection']"	"[]"	"['Contextual Anomaly Detection', 'Self-Supervised Anomaly Detection', 'Anomaly Detection In Surveillance Videos', 'Abnormal Event Detection In Video', 'Unsupervised Anomaly Detection In Sound', 'Unsupervised Anomaly Detection', 'Group Anomaly Detection']"
"350"	"Deception Detection"	"['Computer Vision', 'Miscellaneous']"	"[]"	"['Deception Detection In Videos']"	"[]"
"351"	"Pornography Detection"	"['Computer Vision']"	"[]"	"[]"	"[]"
"352"	"Reading Comprehension"	"['Natural Language Processing']"	"[]"	"['Machine Reading Comprehension', 'Multi-Hop Reading Comprehension', 'Logical Reasoning Reading Comprehension']"	"[]"
"353"	"Machine Reading Comprehension"	"[]"	"['Reading Comprehension', 'Visual Question Answering']"	"[]"	"['Machine Reading Comprehension', 'Factual Visual Question Answering', 'Embodied Question Answering', 'Multi-Hop Reading Comprehension', 'Logical Reasoning Reading Comprehension']"
"354"	"Multi-Hop Reading Comprehension"	"[]"	"['Reading Comprehension']"	"[]"	"['Multi-Hop Reading Comprehension', 'Machine Reading Comprehension', 'Logical Reasoning Reading Comprehension']"
"355"	"Logical Reasoning Reading Comprehension"	"['Natural Language Processing']"	"['Reading Comprehension']"	"[]"	"['Multi-Hop Reading Comprehension', 'Machine Reading Comprehension', 'Logical Reasoning Reading Comprehension']"
"356"	"computational manga"	"['Computer Vision']"	"[]"	"['panel extraction']"	"[]"
"357"	"panel extraction"	"[]"	"['computational manga']"	"[]"	"['panel extraction']"
"358"	"Few-Shot Learning"	"['Computer Vision', 'Methodology']"	"['Meta-Learning']"	"['Few-Shot Image Classification', 'One-Shot Learning', 'Few-Shot Semantic Segmentation', 'Cross-Domain Few-Shot', 'Few-Shot Relation Classification', 'Few-Shot Imitation Learning', 'Few-Shot Camera-Adaptive Color Constancy', 'Few-Shot Video Object Detection']"	"['Few-shot Regression', 'Few-Shot Learning']"
"359"	"Few-Shot Image Classification"	"['Computer Vision']"	"['Few-Shot Learning', 'Image Classification']"	"['Generalized Few-Shot Classification']"	"['Cross-Domain Few-Shot', 'Superpixel Image Classification', 'Sequential Image Classification', 'Sparse Representation-based Classification', 'Document Image Classification', 'Fine-Grained Image Classification', 'Genre classification', 'Semi-Supervised Image Classification', 'Few-Shot Relation Classification', 'Few-Shot Video Object Detection', 'One-Shot Learning', 'Artist classification', 'Few-Shot Imitation Learning', 'Self-Supervised Image Classification', 'Artistic style classification', 'Hyperspectral Image Classification', 'Scale Generalisation', 'Satellite Image Classification', 'Small Data Image Classification', 'Multi-Label Image Classification', 'Learning with noisy labels', 'Few-Shot Camera-Adaptive Color Constancy', 'Few-Shot Semantic Segmentation', 'Photo geolocation estimation', 'Unsupervised Image Classification', 'Classification Consistency', 'Few-Shot Image Classification']"
"360"	"One-Shot Learning"	"['Methodology']"	"['Few-Shot Learning']"	"[]"	"['Cross-Domain Few-Shot', 'Few-Shot Relation Classification', 'Few-Shot Camera-Adaptive Color Constancy', 'Few-Shot Semantic Segmentation', 'Few-Shot Video Object Detection', 'One-Shot Learning', 'Few-Shot Image Classification', 'Few-Shot Imitation Learning']"
"361"	"Few-Shot Semantic Segmentation"	"['Computer Vision']"	"['Few-Shot Learning']"	"[]"	"['Cross-Domain Few-Shot', 'Few-Shot Relation Classification', 'Few-Shot Camera-Adaptive Color Constancy', 'Few-Shot Semantic Segmentation', 'Few-Shot Video Object Detection', 'One-Shot Learning', 'Few-Shot Image Classification', 'Few-Shot Imitation Learning']"
"362"	"Cross-Domain Few-Shot"	"['Computer Vision']"	"['Few-Shot Learning']"	"['cross-domain few-shot learning']"	"['Cross-Domain Few-Shot', 'Few-Shot Relation Classification', 'Few-Shot Camera-Adaptive Color Constancy', 'Few-Shot Semantic Segmentation', 'Few-Shot Video Object Detection', 'One-Shot Learning', 'Few-Shot Image Classification', 'Few-Shot Imitation Learning']"
"363"	"Few-Shot Relation Classification"	"[]"	"['Few-Shot Learning', 'Relation Classification']"	"[]"	"['Cross-Domain Few-Shot', 'Few-Shot Relation Classification', 'Few-Shot Camera-Adaptive Color Constancy', 'Few-Shot Semantic Segmentation', 'Few-Shot Video Object Detection', 'Implicit Discourse Relation Classification', 'One-Shot Learning', 'Few-Shot Image Classification', 'Few-Shot Imitation Learning']"
"364"	"Few-Shot Imitation Learning"	"[]"	"['Few-Shot Learning']"	"[]"	"['Cross-Domain Few-Shot', 'Few-Shot Relation Classification', 'Few-Shot Camera-Adaptive Color Constancy', 'Few-Shot Semantic Segmentation', 'Few-Shot Video Object Detection', 'One-Shot Learning', 'Few-Shot Image Classification', 'Few-Shot Imitation Learning']"
"365"	"Few-Shot Camera-Adaptive Color Constancy"	"[]"	"['Few-Shot Learning', 'Color Constancy']"	"[]"	"['Cross-Domain Few-Shot', 'Few-Shot Relation Classification', 'Few-Shot Camera-Adaptive Color Constancy', 'Few-Shot Semantic Segmentation', 'Few-Shot Video Object Detection', 'One-Shot Learning', 'Few-Shot Image Classification', 'Few-Shot Imitation Learning']"
"366"	"Few-Shot Video Object Detection"	"[]"	"['Few-Shot Learning']"	"[]"	"['Cross-Domain Few-Shot', 'Few-Shot Relation Classification', 'Few-Shot Camera-Adaptive Color Constancy', 'Few-Shot Semantic Segmentation', 'Few-Shot Video Object Detection', 'One-Shot Learning', 'Few-Shot Image Classification', 'Few-Shot Imitation Learning']"
"367"	"Color Constancy"	"['Computer Vision']"	"[]"	"['Few-Shot Camera-Adaptive Color Constancy']"	"[]"
"368"	"Implicit Discourse Relation Classification"	"[]"	"['Relation Classification']"	"[]"	"['Few-Shot Relation Classification', 'Implicit Discourse Relation Classification']"
"369"	"Zero-Shot Learning"	"['Computer Vision', 'Methodology']"	"[]"	"['Temporal Action Localization', 'Generalized Zero-Shot Learning', 'Compositional Zero-Shot Learning', 'Multi-label zero-shot learning']"	"[]"
"370"	"Generalized Zero-Shot Learning"	"[]"	"['Zero-Shot Learning']"	"[]"	"['Temporal Action Localization', 'Multi-label zero-shot learning', 'Compositional Zero-Shot Learning', 'Generalized Zero-Shot Learning']"
"371"	"Compositional Zero-Shot Learning"	"[]"	"['Zero-Shot Learning']"	"[]"	"['Temporal Action Localization', 'Multi-label zero-shot learning', 'Compositional Zero-Shot Learning', 'Generalized Zero-Shot Learning']"
"372"	"Multi-label zero-shot learning"	"[]"	"['Zero-Shot Learning']"	"[]"	"['Temporal Action Localization', 'Multi-label zero-shot learning', 'Compositional Zero-Shot Learning', 'Generalized Zero-Shot Learning']"
"373"	"Write Computer Programs From Specifications"	"['Computer Code']"	"[]"	"[]"	"[]"
"374"	"Transfer Learning"	"['Methodology']"	"[]"	"['Multi-Task Learning', 'Transfer Reinforcement Learning', 'Auxiliary Learning', 'Unsupervised Domain Expansion']"	"[]"
"375"	"Multi-Task Learning"	"[]"	"['Transfer Learning']"	"[]"	"['Unsupervised Domain Expansion', 'Multi-Task Learning', 'Transfer Reinforcement Learning', 'Auxiliary Learning']"
"376"	"Transfer Reinforcement Learning"	"['Methodology']"	"['Transfer Learning']"	"[]"	"['Unsupervised Domain Expansion', 'Multi-Task Learning', 'Transfer Reinforcement Learning', 'Auxiliary Learning']"
"377"	"Auxiliary Learning"	"[]"	"['Transfer Learning']"	"[]"	"['Unsupervised Domain Expansion', 'Multi-Task Learning', 'Transfer Reinforcement Learning', 'Auxiliary Learning']"
"378"	"Unsupervised Domain Expansion"	"[]"	"['Transfer Learning']"	"[]"	"['Unsupervised Domain Expansion', 'Multi-Task Learning', 'Transfer Reinforcement Learning', 'Auxiliary Learning']"
"379"	"Question Answering"	"['Natural Language Processing']"	"[]"	"['Open-Domain Question Answering', 'Answer Selection', 'Community Question Answering', 'Knowledge Base Question Answering', 'Generative Question Answering', 'Cross-Lingual Question Answering', 'Mathematical Question Answering', 'Multilingual Machine Comprehension in English Hindi', 'Logical Reasoning Question Answering', 'Question Quality Assessment']"	"[]"
"380"	"Open-Domain Question Answering"	"['Natural Language Processing']"	"['Question Answering']"	"[]"	"['Cross-Lingual Question Answering', 'Logical Reasoning Question Answering', 'Multilingual Machine Comprehension in English Hindi', 'Question Quality Assessment', 'Community Question Answering', 'Knowledge Base Question Answering', 'Open-Domain Question Answering', 'Answer Selection', 'Mathematical Question Answering', 'Generative Question Answering']"
"381"	"Answer Selection"	"[]"	"['Question Answering']"	"[]"	"['Cross-Lingual Question Answering', 'Logical Reasoning Question Answering', 'Multilingual Machine Comprehension in English Hindi', 'Question Quality Assessment', 'Community Question Answering', 'Knowledge Base Question Answering', 'Open-Domain Question Answering', 'Answer Selection', 'Mathematical Question Answering', 'Generative Question Answering']"
"382"	"Community Question Answering"	"[]"	"['Question Answering']"	"[]"	"['Cross-Lingual Question Answering', 'Logical Reasoning Question Answering', 'Multilingual Machine Comprehension in English Hindi', 'Question Quality Assessment', 'Community Question Answering', 'Knowledge Base Question Answering', 'Open-Domain Question Answering', 'Answer Selection', 'Mathematical Question Answering', 'Generative Question Answering']"
"383"	"Knowledge Base Question Answering"	"[]"	"['Question Answering']"	"[]"	"['Cross-Lingual Question Answering', 'Logical Reasoning Question Answering', 'Multilingual Machine Comprehension in English Hindi', 'Question Quality Assessment', 'Community Question Answering', 'Knowledge Base Question Answering', 'Open-Domain Question Answering', 'Answer Selection', 'Mathematical Question Answering', 'Generative Question Answering']"
"384"	"Generative Question Answering"	"[]"	"['Question Answering']"	"[]"	"['Cross-Lingual Question Answering', 'Logical Reasoning Question Answering', 'Multilingual Machine Comprehension in English Hindi', 'Question Quality Assessment', 'Community Question Answering', 'Knowledge Base Question Answering', 'Open-Domain Question Answering', 'Answer Selection', 'Mathematical Question Answering', 'Generative Question Answering']"
"385"	"Cross-Lingual Question Answering"	"[]"	"['Question Answering']"	"[]"	"['Cross-Lingual Question Answering', 'Logical Reasoning Question Answering', 'Multilingual Machine Comprehension in English Hindi', 'Question Quality Assessment', 'Community Question Answering', 'Knowledge Base Question Answering', 'Open-Domain Question Answering', 'Answer Selection', 'Mathematical Question Answering', 'Generative Question Answering']"
